,UNITID,ADM_RATE,SATVRMID,SATMTMID,ACTCMMID,ACTCM25,ACTCM75,COSTT4_A,UGDS,C150_4,RET_FT4,MD_EARN_WNE_MALE0_P6,MD_EARN_WNE_MALE1_P6,MD_EARN_WNE_MALE0_P10,MD_EARN_WNE_MALE1_P10
0,100654,0.9363999962806702,465.0,445.00000005960464,16.0,13.999999940395355,19.0,23617.0,5552.0,0.3263000249862671,0.5290999412536621,26534.0,32134.999999996275,40284.0,44123.0
1,100663,0.5521000623703003,685.0,661.0,27.0,23.0,29.0,24643.0000000149,13470.0,0.6850999593734741,0.8434000015258789,43391.0,51507.0,51111.0,62198.0
2,100706,0.8427000045776367,708.0,825.0,28.0,25.0,31.0,24393.0,8112.000000007451,0.6349000334739685,0.8294000029563904,50089.0,65200.00000000023,50404.0,68838.0
3,100724,0.960599958896637,480.0,474.99999994039536,16.0,13.999999940395355,18.0,22256.000000003725,3597.0,0.35510003566741943,0.6385999917984009,26026.0,28186.0,34770.0,38613.0
4,100751,1.062999963760376,620.0000000596046,630.0,27.0,23.0,31.0,30320.0,31622.99999999255,0.7032000422477722,0.8597999811172485,47444.0,61050.0,52156.0,69960.0
5,100830,0.8806999921798706,500.0,505.0,21.0,19.0,23.0,21407.0,4285.0,0.34219998121261597,0.6478999853134155,39444.0,44293.000000000466,43876.0,55792.0
6,100858,0.8590999841690063,615.0,625.0000000596046,28.0,25.0,32.0,31898.0,24271.0,0.8009999990463257,0.9272999167442322,48879.0,63928.0,55367.0,76605.0
7,100937,0.5095999836921692,660.0,630.0000000596046,26.0,21.0,29.0,12014.0,1145.0,0.7019999623298645,0.7982000112533569,46901.0,51181.0,57355.0,70227.0
8,101189,1.0439000129699707,560.0,495.0,21.0,18.0,23.0,34690.0,1777.0000000149012,0.37800002098083496,0.6769999861717224,36703.0,41938.999999999534,38308.0,53934.0
9,101435,0.601699948310852,586.0,556.0,20.0,14.999999940395355,24.0,37971.0,936.0,0.559299886226654,0.5637000203132629,38751.0,45599.0,46743.0,57385.0
10,101480,0.5527999997138977,625.0,545.0,19.0,16.999999940395355,22.0,17958.00000000029,7092.0,0.401900053024292,0.7589000463485718,39376.00000000023,43068.99999999977,40758.0,47718.0
11,101587,0.3020000457763672,480.0,460.0,19.0,18.0,21.0,22622.0,2318.0,0.38830000162124634,0.7079000473022461,29807.00000000093,40294.00000000745,36413.0,48424.0
12,101693,0.44279998540878296,635.0,546.0,26.0,22.0,29.0,36745.0,1090.0,0.5936000347137451,0.7453999519348145,35394.0,43659.0,42642.0,60829.0
13,101709,0.532,570.0,565.0,23.0,20.0,25.0,24746.0,2200.0,0.5511,0.7398,32495.0,36844.0,38636.0,46025.0
14,101879,1.132200002670288,570.0,526.0000000596046,23.0,20.0,27.0,23060.0,5284.999999992549,0.5145000219345093,0.7541999220848083,39434.0,38605.0,40544.0,49481.0
